SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,1333 18th St #3,Santa Monica,CA,90404,1095000,3,3.0,Santa Monica,1466,7479,1989,37,747,425,Active,,,http://www.redfin.com/CA/Santa-Monica/1333-18th-St-90404/unit-3/home/6768468,TheMLS,20-594282,N,Y,34.027994,-118.4823745
MLS Listing,,Condo/Co-op,2817 3rd St #4,Santa Monica,CA,90405,999000,2,2.0,Santa Monica,1060,,2020,37,942,354,Active,,,http://www.redfin.com/CA/Santa-Monica/2817-3rd-St-90405/unit-4/home/172237110,TheMLS,20-593966,N,Y,34.0011409,-118.479748
MLS Listing,,Condo/Co-op,1222 Princeton St #3,Santa Monica,CA,90404,639000,1,1.0,C14 - Santa Monica,829,19156,1956,38,771,221,Active,,,http://www.redfin.com/CA/Santa-Monica/1222-Princeton-St-90404/unit-3/home/6763135,CRMLS,SB20120351,N,Y,34.0360932,-118.4762358
MLS Listing,,Townhouse,843 15th St #3,Santa Monica,CA,90403,1650000,2,2.5,Santa Monica,1792,7489,1998,40,921,500,Active,,,http://www.redfin.com/CA/Santa-Monica/843-15th-St-90403/unit-3/home/6772290,TheMLS,20-593486,N,Y,34.0322745,-118.4929044
MLS Listing,,Condo/Co-op,2628 Kansas Ave #2,Santa Monica,CA,90404,797000,3,2.0,C14 - Santa Monica,1186,38811,1972,40,672,346,Active,,,http://www.redfin.com/CA/Santa-Monica/2628-Kansas-Ave-90404/unit-2/home/6767013,CRMLS,WS20111795,N,Y,34.024537,-118.4623638
MLS Listing,,Single Family Residential,1415 23rd St,Santa Monica,CA,90404,1300000,3,1.5,Santa Monica,828,1670,1913,40,1570,,Active,,,http://www.redfin.com/CA/Santa-Monica/1415-23rd-St-90404/home/6767527,TheMLS,20-593128,N,Y,34.030476,-118.4768958
MLS Listing,,Single Family Residential,631 15th St,Santa Monica,CA,90402,3595000,6,6.5,Santa Monica,4002,7499,2020,40,898,,Active,,,http://www.redfin.com/CA/Santa-Monica/631-15th-St-90402/home/6770979,TheMLS,20-593166,N,Y,34.034096,-118.4951482
MLS Listing,,Townhouse,718 Lincoln Blvd #3,Santa Monica,CA,90402,1975000,2,2.5,Santa Monica,1757,7506,1998,41,1124,225,Active,,,http://www.redfin.com/CA/Santa-Monica/718-Lincoln-Blvd-90402/unit-3/home/8102124,TheMLS,20-592330,N,Y,34.0278995,-118.5017475
MLS Listing,,Single Family Residential,622 25th St,Santa Monica,CA,90402,6599000,6,6.0,Santa Monica,6822,8713,2006,41,967,,Active,,,http://www.redfin.com/CA/Santa-Monica/622-25th-St-90402/home/6769839,TheMLS,20-592644,N,Y,34.0421399,-118.486703
MLS Listing,,Condo/Co-op,1755 Ocean Ave #709,Santa Monica,CA,90401,1250000,1,1.0,Santa Monica,924,,2014,41,1353,1543,Active,,,http://www.redfin.com/CA/Santa-Monica/1755-Ocean-Ave-90401/unit-709/home/62553003,TheMLS,20-592704,N,Y,34.0087273,-118.4911656
MLS Listing,,Townhouse,908 17th St #4,Santa Monica,CA,90403,1845000,2,2.5,Santa Monica,1961,14994,2008,42,941,649,Active,,,http://www.redfin.com/CA/Santa-Monica/908-17th-St-90403/unit-4/home/172097075,TheMLS,20-588870,N,Y,34.0327221,-118.4908067
MLS Listing,,Condo/Co-op,2311 Schader Dr #106,Santa Monica,CA,90404,1190000,2,3.0,C14 - Santa Monica,1650,12599,1993,43,721,500,Active,,,http://www.redfin.com/CA/Santa-Monica/2311-Schader-Dr-90404/unit-106/home/6767537,CRMLS,AR20116850,N,Y,34.030505,-118.4765999
